mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.6283361434936523,0.3475649670032093,0.005485963821411133,0.0017590973771503292,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9493521824321911,0.9137392603384542,0.9339809798643477,0.9229125136599386,0.8878307449376335,0.921563136246513,0.02062688539295589,1,-3.6590535471426984,-4.778983187829239,-4.3980907772749065,-4.518200687406207,-5.83351484130716,-4.637568608192042,0.7041840004643837,1
0.1992663860321045,0.01585846787368009,0.0033730030059814452,0.00010436685543791542,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.9485040096843633,0.9105970581375183,0.9323845330501959,0.9236339793598316,0.8885885534659591,0.9207416267395736,0.020255395680515455,2,-3.689564476374316,-4.865246161734788,-4.450949611540477,-4.497007950008923,-5.813776014053695,-4.66330884274244,0.6906929729049008,2
0.4557971477508545,0.019024576714346597,0.005551767349243164,0.0028965298276664125,0.01,0.1,6,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9236529495952598,0.9127965496713963,0.9244815036531451,0.9206481692857568,0.8839157266466752,0.9130989797704465,0.015163720639686448,3,-4.492463202833478,-4.805026068704652,-4.70388092069518,-4.5840785459370155,-5.934444640591694,-4.903978675752404,0.5259984623970392,3
0.2600958824157715,0.012082462427488224,0.0033585071563720704,5.400811825868431e-05,0.1,0.1,6,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9232166161716336,0.9105311182848993,0.9261483999417218,0.9215013711236878,0.8809116424741935,0.9124618295992273,0.01663636322478221,4,-4.505282421762864,-4.867040031574657,-4.651677595881354,-4.5593676199325985,-6.010741376490498,-4.918821809128394,0.5597424164344369,4
0.31758913993835447,0.013767944187513283,0.003539371490478516,6.022689268030814e-05,0.1,0.1,6,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}",0.9232163263940538,0.9105304741743746,0.9261474301552133,0.9215014153477455,0.8809119740252136,0.9124615240193202,0.01663606019731888,5,-4.505290923137378,-4.867057551107739,-4.651708137666242,-4.559366335618665,-6.010733009304723,-4.91883119136695,0.559734821433403,5
0.2805149078369141,0.016279563586214366,0.003447103500366211,0.00017938861054295026,0.01,0.1,6,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9233182105519251,0.9100847408402444,0.9248846838288007,0.9200074526635988,0.881307857968949,0.9119205891707036,0.016148563622377283,6,-4.502300898573992,-4.879166224439535,-4.691307513555927,-4.602548128219496,-6.00073396218096,-4.9352113453939825,0.5469999730675345,6
0.09349665641784669,0.009539180870354125,0.002743101119995117,4.187721727119756e-05,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9382510777383373,0.9017035681179132,0.9257109306219251,0.9128581637915502,0.8762180992268142,0.910948367899308,0.021254065155189208,7,-4.040202080753162,-5.1014988198455855,-4.665434654156538,-4.8038222409133455,-6.128045242427192,-4.947800607619165,0.6842215907377088,7
0.09077072143554688,0.01099858826259509,0.0027008533477783205,5.75251019577122e-05,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.938077656405691,0.9009939804637382,0.9264335090654832,0.9128581637915502,0.8762180992268142,0.9109162817906553,0.021376208531159846,8,-4.045871539793662,-5.11987919741044,-4.642689854215065,-4.8038222409133455,-6.128045242427192,-4.948061614951941,0.6855489017924574,8
0.1561886787414551,0.011810425174887654,0.0035523891448974608,0.0008504253813591061,0.1,0.1,6,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9194553304290607,0.9053259828984099,0.9251380719074975,0.915782224344973,0.8768660523313688,0.908513532382262,0.017091843710118067,9,-4.61431032925166,-5.006616384801319,-4.683388186065624,-4.722537970282017,-6.111985156772592,-5.027767605434643,0.5583340051711944,9
0.1566603183746338,0.009392806052530248,0.0029401302337646483,0.00021614105298309815,0.01,0.1,6,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9193808650685174,0.9057292917856481,0.9246126065077845,0.9128796886831944,0.8765806959774668,0.9078366296045222,0.016861254271018408,10,-4.616442853370953,-4.995940974660747,-4.699796092944128,-4.803228908572564,-6.119063158170718,-5.046894397543822,0.5508685393122587,10
1.239720106124878,0.44188246622954314,0.00839824676513672,0.003877318280276665,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9140963216696691,0.8920010552811677,0.915260004006147,0.9037698992337381,0.872031975877703,0.899431851213685,0.01606465481620015,11,-4.765344222341894,-5.347350724903364,-4.982804769740424,-5.048112738439075,-6.230804450661019,-5.274883381217156,0.512913560172297,12
0.860060167312622,0.03491006649771869,0.005232572555541992,0.00010553635501074625,0.01,0.01,6,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9140425432762556,0.8934044124841135,0.9154854138563188,0.9031583558195886,0.8710666616942658,0.8994314774261085,0.016284901142216177,12,-4.766835616338102,-5.312494918109282,-4.976173183477479,-5.064127742553084,-6.254261027953345,-5.274778497686258,0.5200679571925401,11
0.04433035850524902,0.002780726741913513,0.0024727821350097657,7.521863969751546e-05,0.01,0.1,3,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9243578970338009,0.8887883564752614,0.9160084098866144,0.8963212640071166,0.8625025831093167,0.897595702102422,0.021752992509585695,13,-4.471674614179173,-5.426303032030846,-4.960752427754372,-5.239844779049964,-6.4586337687847575,-5.311441724359822,0.6576565382423029,13
0.049911212921142575,0.0033195940370129256,0.003069305419921875,0.0005286002959130778,0.1,0.1,3,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9243578970338009,0.8887883564752614,0.9160081201061361,0.8963212640071166,0.8625025831093167,0.8975956441463264,0.02175294345320237,14,-4.471674614179173,-5.426303032030846,-4.960760985325255,-5.239844779049964,-6.4586337687847575,-5.311443435873999,0.6576556256013942,14
0.5009946823120117,0.008597094971112431,0.004312467575073242,0.0010255485917500722,0.01,0.1,9,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9024807923564351,0.8773351030304362,0.917732303690137,0.900688937636073,0.8832869478906697,0.8963048169207501,0.01446247098835918,15,-5.077307643690724,-5.698874105249851,-4.90957976178548,-5.128287789181467,-5.950495106902161,-5.3529088813619365,0.3999381498726806,15
0.5487314224243164,0.1775172115893456,0.00343470573425293,3.1861643769561163e-05,0.01,0.1,9,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9024807803363394,0.8773351068910158,0.9177323090105981,0.9006889310299732,0.8832869525744642,0.8963048159684781,0.014462469281864586,16,-5.077307956602012,-5.698874015570743,-4.909579603027977,-5.128287959746458,-5.950494987502937,-5.352908904490024,0.3999380715873147,16
